name,category,order,church,start,end,years,is_open
"Alejandro, Edith",active_church,Local pastor,Pharr: Nueva Vida,2022,2025,3,1
"Alejandro, Ezekiel",active_church,Local pastor,Mercedes: El Buen Pastor,2022,2023,1,0
"Alejandro, Ezekiel",active_church,Local pastor,San Juan: Los UMC/San Juan: Los Wesleyanos,2023,2025,2,0
"Alejandro, Ezekiel",active_church,Local pastor,Pharr: La Trinidad UMC/San Juan: Los Wesleyanos Wesleyanos,2025,2025,0,1
"Allen, Robert Meredith",active_church,Elder,LA Conf - Aurora,1977,1979,2,0
"Allen, Robert Meredith",active_church,Elder,Seguin: First UMC,1979,1980,1,0
"Allen, Robert Meredith",active_church,Elder,V: First UMC,1980,1981,1,0
"Allen, Robert Meredith",active_church,Elder,Cuero/Westhoff,1981,1983,2,0
"Allen, Robert Meredith",active_church,Elder,Cuero/Rabke,1983,1985,2,0
"Allen, Robert Meredith",active_church,Elder,CC: Wesley,1985,1987,2,0
"Allen, Robert Meredith",active_church,Elder,Brady: First UMC,1987,1991,4,0
"Allen, Robert Meredith",active_church,Elder,Gonzales: First UMC,1991,1994,3,0
"Allen, Robert Meredith",active_church,Elder,SAnt: Windcrest UMC,1994,1998,4,0
"Allen, Robert Meredith",active_church,Elder,SAnt: Coker UMC,1998,2007,9,0
"Allen, Robert Meredith",active_church,Elder,Kerrville: First UMC,2010,2015,5,0
"Allen, Robert Meredith",active_church,Elder,SAnt: Northern Hills UMC,2022,2025,3,1
"Altman, Larry Ray",retired,Elder,CC: St. John's,1974,1978,4,0
"Altman, Larry Ray",retired,Elder,Floresville UMC,1978,1981,3,0
"Altman, Larry Ray",retired,Elder,SAnt: Northwest Hills UMC,1981,1986,5,0
"Altman, Larry Ray",retired,Elder,SAng: St. Luke,1986,1994,8,0
"Altman, Larry Ray",retired,Elder,Austin: Memorial,1994,1997,3,0
"Altman, Larry Ray",retired,Elder,Fredericksburg UMC,1997,2003,6,0
"Altman, Larry Ray",retired,Elder,New Braunfels: First UMC,2003,2008,5,0
"Altman, Ray Joseph",extension,Elder,Kerrville: First UMC,2008,2014,6,0
"Altman, Ray Joseph",extension,Elder,Leander UMC,2014,2019,5,0
"Altman, Ray Joseph",extension,Elder,RTC New Church Start,2019,2023,4,0
"Altman, Ray Joseph",extension,Elder,Rio Texas New Church Start,2023,2025,2,0
"Amaya, Maria",retired,Elder,Falfurrias: El Buen Pastor,1985,1991,6,0
"Amaya, Maria",retired,Elder,Alamo: San Pablo,1991,1995,4,0
"Amaya, Maria",retired,Elder,El Buen Samaritano,1995,1996,1,0
"Amaya, Maria",retired,Elder,Principe de Paz,1996,1997,1,0
"Amaya, Maria",retired,Elder,San Juan: Los Wesleyanos,1997,1999,2,0
"Amaya, Maria",retired,Elder,Cotulla: El Buen Pastor,1999,2000,1,0
"Amaya, Maria",retired,Elder,Las Milpas,2004,2006,2,0
"Amerson, James Patrick",active_church,Elder,SAnt: Ernest T. Dixon,1992,2000,8,0
"Amerson, James Patrick",active_church,Elder,CC: St. John's,2000,2002,2,0
"Amerson, James Patrick",active_church,Elder,Austin: Simpson UMC,2002,2008,6,0
"Amerson, James Patrick",active_church,Elder,Point Comfort / Lolita,2008,2014,6,0
"Amerson, James Patrick",active_church,Elder,SAnt: St. Paul UMC,2014,2025,11,0
"Amerson, James Patrick",active_church,Elder,CC: First UMC,2025,2025,0,1
"Amick, Ross Benjamin",retired,Elder,Marble Falls UMC,2002,2003,1,0
"Amick, Ross Benjamin",retired,Elder,SAnt: Northern Hills UMC,2003,2008,5,0
"Angell, Allison",active_church,Deacon,Austin: Tarrytown UMC,2025,2025,0,1
"Angle, Polly Morrison",active_church,Other,SAnt: Colonial Hills UMC,2017,2021,4,0
"Angle, Polly Morrison",active_church,Other,Canyon Lake UMC,2021,2025,4,1
"Armijo, Elmer",active_church,Elder,Croswell: FUMC,1999,2001,2,0
"Armijo, Elmer",active_church,Elder,Morenci,2001,2003,2,0
"Armijo, Elmer",active_church,Elder,Rio Grande City: First,2003,2003,0,0
"Armijo, Elmer",active_church,Elder,Rio Grande City: FUMC,2003,2004,1,0
"Armijo, Elmer",active_church,Elder,Pharr: La Trinidad,2004,2008,4,0
"Armijo, Elmer",active_church,Elder,CC: El Buen Pastor,2008,2010,2,0
"Armijo, Elmer",active_church,Elder,Grant UMC,2016,2020,4,0
"Armijo, Elmer",active_church,Elder,Water for the Rock (New Church Start),2020,2024,4,0
"Armijo, Elmer",active_church,Elder,Frontenac- Arma,2024,2025,1,1
"Armwood, Jasper Earl",active_church,Other,Hallettsville Circuit,2017,2025,8,1
"Arrington, Johnny Ray",active_church,Other,Pleasanton: First UMC,2015,2025,10,1
"Austin, James Daly",retired,Elder,Austin: Westlake,2006,2014,8,0
"Ayala, Victoria",active_church,Deacon,"Extension Ministry, Memorial Herman Health System Memorial Herman Health System",2024,2025,1,1
"Aziz, Barbara Kutac",active_church,Elder,"Student Local Pastor, Luling: First UMC",2005,2006,1,0
"Aziz, Barbara Kutac",active_church,Elder,Kyle UMC,2009,2013,4,0
"Aziz, Barbara Kutac",active_church,Elder,Bulverde UMC,2013,2019,6,0
"Aziz, Barbara Kutac",active_church,Elder,Bracken UMC,2019,2023,4,0
"Aziz, Barbara Kutac",active_church,Elder,Portland: First UMC,2023,2025,2,1
"Babb, Charles Robert",leave_other,Other,CC: St. John's,1985,1986,1,0
"Babb, Charles Robert",leave_other,Other,Goliad: First UMC,1986,1988,2,0
"Bachelor, David Leslie",active_church,Elder,Pearsall UMC,2018,2022,4,0
"Bachelor, David Leslie",active_church,Elder,Uvalde: First UMC,2022,2025,3,1
"Bailey, Barton Howard",extension,Elder,CC: First UMC,2013,2014,1,0
"Bailey, Barton Howard",extension,Elder,"Staff, City of CC: Homeless Program",2019,2021,2,0
"Bailey, Victoria Reed",retired,Elder,"Student Local Pastor, Martindale",1988,1990,2,0
"Bailey, Victoria Reed",retired,Elder,Cross Tracks Church,1990,1992,2,0
"Bailey, Victoria Reed",retired,Elder,Austin: Bethany,1992,1999,7,0
"Bailey, Victoria Reed",retired,Elder,Sterling City: First UMC,2000,2001,1,0
"Baird, Dawn Denise",extension,Elder,Corredor de la Esperanza,2010,2013,3,0
"Baird, Dawn Denise",extension,Elder,Bulverde UMC,2013,2014,1,0
"Baird, Dawn Denise",extension,Elder,Rio Texas New Church Start,2014,2015,1,0
"Baird, Dawn Denise",extension,Elder,Bulverde UMC,2015,2018,3,0
"Baird, Dawn Denise",extension,Elder,Lakehills UMC,2021,2024,3,0
"Balensiefen, Lori Michelle",extension,Deacon,Boerne: First,2018,2024,6,0
"Baltazar-Ramirez, FL: 2008; FL: 2015; AM: 2017; RA: 2022",retired,Other,Hispanic Ministry,2007,2011,4,0
"Baltazar-Ramirez, FL: 2008; FL: 2015; AM: 2017; RA: 2022",retired,Other,"San Marcos, El Buen Pastor",2011,2015,4,0
"Baltazar-Ramirez, FL: 2008; FL: 2015; AM: 2017; RA: 2022",retired,Other,San Marcos: El Buen Pastor,2015,2022,7,0
"Banda, Amanda",extension,Local pastor,Harlingen: Valley Praise,2020,2021,1,0
"Banda, Amanda",extension,Local pastor,"Assoc. Communications & Pastor, V: First UMC",2021,2025,4,0
"Barker, Denise Ann",retired,Deacon,SAnt: University UMC,2003,2009,6,0
"Barrera, Baldemar",retired,Other,Crystal City,2012,2017,5,0
"Barrera, Baldemar",retired,Other,Raymondville: Bethel/Mercedes: El Buen Pastor,2017,2017,0,0
"Barrera, Baldemar",retired,Other,Mission: First UMC,2019,2019,0,0
"Barrera, Rodolfo",retired,Elder,Waco,1965,1968,3,0
"Barrera, Rodolfo",retired,Elder,Austin: Govalle,1968,1972,4,0
"Barrera, Rodolfo",retired,Elder,Weslaco Mercedes,1974,1975,1,0
"Barrera, Rodolfo",retired,Elder,Weslaco,1975,1977,2,0
"Barrera, Rodolfo",retired,Elder,McAllen,1977,1979,2,0
"Barrera, Rodolfo",retired,Elder,Division of Chaplains,1979,1992,13,0
"Barrera, Rodolfo",retired,Elder,El Buen Samaritano,1992,1993,1,0
"Barrera, Rodolfo",retired,Elder,SAnt: El Divino Salvador,2000,2004,4,0
"Barrera, Rodolfo",retired,Elder,Albuquerque: El Buen Samaritano,2004,2009,5,0
"Barrera, Rodolfo",retired,Elder,SAnt: Westlawn,2012,2012,0,0
"Barrera, Rodolfo",retired,Elder,SAnt: El Divino Salvador,2017,2017,0,0
"Bartle, Julie",active_church,Local pastor,Gruene UMC,2024,2025,1,0
"Bartle, Julie",active_church,Local pastor,New Braunfels: First UMC Braunfels: First UMC,2025,2025,0,1
"Barton, Lynn Parker",retired,Elder,Austin: St. John's,1979,1983,4,0
"Barton, Lynn Parker",retired,Elder,San Saba UMC,1983,1988,5,0
"Barton, Lynn Parker",retired,Elder,Austin: St. John's,1988,1994,6,0
"Barton, Lynn Parker",retired,Elder,SAnt: Laurel Heights UMC,1994,1997,3,0
"Barton, Lynn Parker",retired,Elder,Portland: First UMC,1997,2007,10,0
"Barton, Lynn Parker",retired,Elder,Austin: Westlake,2007,2017,10,0
"Barton, Paul Thomas",active_church,Elder,Puerto del Cielo (Garland Christ the King),1985,1986,1,0
"Barton, Paul Thomas",active_church,Elder,La Trinidad,1986,1987,1,0
"Barton, Paul Thomas",active_church,Elder,Puerta del Cielo (Garland Christ the King),1987,1988,1,0
"Barton, Paul Thomas",active_church,Elder,Pharr: La Trinidad,1988,1990,2,0
"Barton, Paul Thomas",active_church,Elder,El Buen Pastor,1990,1991,1,0
"Barton, Paul Thomas",active_church,Elder,Dallas: Agape Memorial,1998,1999,1,0
"Barton, Paul Thomas",active_church,Elder,"Assist Prof, Episcopal Theological Seminary SW Austin",1999,2015,16,0
"Barton, Paul Thomas",active_church,Elder,Kerrville: St. Paul's UMC,2025,2025,0,1
"Baskin, Charles Henry",retired,Elder,Shiner: First UMC,1998,2001,3,0
"Baskin, Charles Henry",retired,Elder,Mission: First UMC,2001,2010,9,0
"Baskin, Charles Henry",retired,Elder,Austin: Northwest Hills,2010,2016,6,0
"Baskin, Charles Henry",retired,Elder,SAng: St. Luke,2016,2019,3,0
"Baskin, Judith Meryle",retired,Elder,Austin: Berkeley UMC,1999,2002,3,0
"Baskin, Judith Meryle",retired,Elder,Aransas Pass UMC,2002,2006,4,0
"Baskin, Judith Meryle",retired,Elder,Johnson City UMC,2006,2008,2,0
"Baskin, Judith Meryle",retired,Elder,Lytton Springs,2009,2009,0,0
"Bassford, Virginia O.",active_church,Other,Kempner UMC,2025,2025,0,1
"Bates, Richard Thomas",retired,Elder,Del Rio: First UMC,1973,1975,2,0
"Bates, Richard Thomas",retired,Elder,SAnt: Windcrest UMC,1975,1976,1,0
"Bates, Richard Thomas",retired,Elder,Seguin: First UMC,1977,1979,2,0
"Baumheckel, Linda Sue",retired,Elder,Kingsville: Christ / Riviera,2010,2011,1,0
"Baumheckel, Linda Sue",retired,Elder,CC: St. Paul,2011,2015,4,0
"Baumheckel, Linda Sue",retired,Elder,Universal City,2015,2020,5,0
"Baumheckel, Linda Sue",retired,Elder,SAnt: Alamo Heights,2024,2024,0,0
"Baxter Ballou, Becky",active_church,Other,Eagle Pass UMC,2013,2017,4,0
"Baxter Ballou, Becky",active_church,Other,Eagle Pass: FUMC / La Trinidad,2017,2017,0,0
"Baxter Ballou, Becky",active_church,Other,Eagle Pass: FUMC,2017,2020,3,0
"Baxter Ballou, Becky",active_church,Other,SAnt: Chapel Hill UMC,2020,2025,5,1
"Beadle, Tracey Bowles",extension,Elder,Austin: First UMC,2011,2012,1,0
"Beadle, Tracey Bowles",extension,Elder,Manchaca UMC,2012,2017,5,0
"Beadle, Tracey Bowles",extension,Elder,Austin: Westlake,2017,2025,8,0
"Beasley, Amelia Pieterse",leave_other,Elder,SAnt: Coker UMC,2013,2015,2,0
"Beasley, Amelia Pieterse",leave_other,Elder,Brownsville: El Buen Pastor,2015,2018,3,0
"Beasley, Amelia Pieterse",leave_other,Elder,Mission: El Mesias,2018,2021,3,0
"Beck, Elmer Leroy",retired,Elder,"Local Pastor (PT), LRA Conf - Pt Cedar/Rckpt /Bttfd",1960,1961,1,0
"Beck, Elmer Leroy",retired,Elder,"Fulltime Local Pastor, LRA Conf - Austin CT",1964,1966,2,0
"Beck, Elmer Leroy",retired,Elder,"Fulltime Local Pastor, LRA Conf - Carthage",1966,1968,2,0
"Beck, Elmer Leroy",retired,Elder,"Fulltime Local Pastor, TX Conf - Goodsprings",1968,1969,1,0
"Beck, Elmer Leroy",retired,Elder,"Fulltime Local Pastor, TX Conf - Karnack",1969,1970,1,0
"Beck, Elmer Leroy",retired,Elder,TX Conf - Lexington / Blue,1970,1973,3,0
"Beck, Elmer Leroy",retired,Elder,TX Conf - Van Vleck: 1st,1973,1976,3,0
"Beck, Elmer Leroy",retired,Elder,Mc: First UMC/Freer McAllen: First/Freer,1976,1977,1,0
"Beck, Elmer Leroy",retired,Elder,Freer/Benavides,1977,1978,1,0
"Beck, Elmer Leroy",retired,Elder,San Benito: First UMC,1978,1982,4,0
"Beck, Elmer Leroy",retired,Elder,Dilley UMC,1982,1985,3,0
"Beck, Elmer Leroy",retired,Elder,New Fountain,1985,1989,4,0
"Beck, Elmer Leroy",retired,Elder,Ganado,1989,1991,2,0
"Beck, Elmer Leroy",retired,Elder,Flatonia,1991,1993,2,0
"Beck, Elmer Leroy",retired,Elder,Bronte: First,1993,1997,4,0
"Beck, Elmer Leroy",retired,Elder,SAnt: Harlandale UMC,1997,2004,7,0
"Becker, Laura Hewett",active_church,Elder,Telferner / Nursery,1996,2000,4,0
"Becker, Laura Hewett",active_church,Elder,V: First UMC,2000,2008,8,0
"Becker, Laura Hewett",active_church,Elder,Goliad: First UMC,2008,2012,4,0
"Becker, Laura Hewett",active_church,Elder,Rockport: First UMC,2012,2019,7,0
"Becker, Laura Hewett",active_church,Elder,Leander UMC,2019,2024,5,0
"Becker, Laura Hewett",active_church,Elder,Mason: First UMC,2024,2025,1,1
"Bell, Michael Kent",active_church,Local pastor,Kerrville: Barnett Chapel,2003,2005,2,0
"Bell, Michael Kent",active_church,Local pastor,SAng: Wesley UMC,2005,2010,5,0
"Bell, Michael Kent",active_church,Local pastor,SAng: Wesley / SAng: Trinity,2010,2012,2,0
"Bell, Michael Kent",active_church,Local pastor,SAng: Wesley Trinity,2012,2016,4,0
"Bell, Michael Kent",active_church,Local pastor,Hilda,2016,2024,8,0
"Bell, Michael Kent",active_church,Local pastor,Elgin,2024,2025,1,1
"Bell, Troy James, Sr.",retired,Elder,Austin: St. Peter's UMC,1973,1975,2,0
"Bell, Troy James, Sr.",retired,Elder,SAnt: East St. Paul UMC,1975,1987,12,0
"Bell, Troy James, Sr.",retired,Elder,Seguin: Wesley Harper UMC,1987,1994,7,0
"Bell, Troy James, Sr.",retired,Elder,Austin: Simpson UMC,1994,2001,7,0
"Bell, Troy James, Sr.",retired,Elder,CC: St. Paul,2001,2011,10,0
"Bell, Troy James, Sr.",retired,Elder,San Marcos: Jackson Chapel,2017,2017,0,0
"Bentley, Ronald Thomas",leave_other,Deacon,"Teach Outside Meth Ch, University of Virginia",2009,2010,1,0
"Bentley, Ronald Thomas",leave_other,Deacon,First UMC McKinney,2011,2019,8,0
"Bergfield, Patricia Mayer",active_church,Elder,Austin: Tarrytown UMC,2018,2025,7,1
"Bermudez, Jesus G",retired,Elder,Monte Sinai-Student Pastor,1966,1967,1,0
"Bermudez, Jesus G",retired,Elder,Monte Sinai Local Pastor,1967,1969,2,0
"Bermudez, Jesus G",retired,Elder,San Pablo,1969,1972,3,0
"Bermudez, Jesus G",retired,Elder,La Trinidad,1975,1978,3,0
"Bermudez, Jesus G",retired,Elder,El Buen Samaritano,1978,1980,2,0
"Bermudez, Jesus G",retired,Elder,El Divino Redentor,1986,1990,4,0
"Bermudez, Jesus G",retired,Elder,Emmanuel,1990,1994,4,0
"Bermudez, Jesus G",retired,Elder,Albuquerque: El Buen Samaritano,2000,2004,4,0
"Bevers, Bonnie",active_church,Deacon,San Marcos: First UMC Marcos: First UMC,2024,2025,1,1
"Bishop, Robyn",active_church,Local pastor,Austin: Memorial,2023,2025,2,1
"Bistline, Christine Coffey",retired,Elder,Austin: Northwest Hills,2001,2004,3,0
"Bistline, Christine Coffey",retired,Elder,Bertram,2006,2014,8,0
"Bistline, Christine Coffey",retired,Elder,Bracken UMC,2014,2019,5,0
"Bistline, Christine Coffey",retired,Elder,Cedar Creek UMC,2019,2022,3,0
"Blair, Vallilea",retired,Elder,"(PT), Lockhart: First UMC",1989,1990,1,0
"Blair, Vallilea",retired,Elder,Flatonia/Thmpsnvle/Waeldr,1990,1991,1,0
"Blair, Vallilea",retired,Elder,"/Assoc Pastor, Mertzon / SAng: St. Luke's",1991,1993,2,0
"Blair, Vallilea",retired,Elder,Bandera UMC,1993,1995,2,0
"Blair, Vallilea",retired,Elder,SAnt: Laurel Heights UMC,1996,2001,5,0
"Blair, Vallilea",retired,Elder,SAnt: Chapel Hill UMC,2001,2003,2,0
"Blair, Vallilea",retired,Elder,Three Rivers UMC,2013,2016,3,0
"Blair, Vallilea",retired,Elder,Kingsville: First UMC,2016,2020,4,0
"Blair, Vallilea",retired,Elder,Devine UMC,2020,2022,2,0
"Blair, Vallilea",retired,Elder,Floresville UMC,2022,2022,0,0
"Blanco, David E.",active_church,Elder,Lubbock: La Trinidad,2003,2005,2,0
"Blanco, David E.",active_church,Elder,Dallas: Agape Memorial,2005,2009,4,0
"Blanco, David E.",active_church,Elder,Albuquerque: El Buen Samaritano,2009,2011,2,0
"Blanco, David E.",active_church,Elder,Edinburg: El Buen Pastor,2011,2015,4,0
"Blanco, David E.",active_church,Elder,SAnt: Coker UMC,2015,2022,7,0
"Blanco, David E.",active_church,Elder,Universal City,2022,2024,2,0
"Blanco, David E.",active_church,Elder,Brownsville: First,2024,2025,1,1
"Blaylock, Lisa Marie",extension,Elder,Vista Road UMC,2002,2006,4,0
"Blaylock, Lisa Marie",extension,Elder,UMC/University Of New FUMC Denton,2006,2013,7,0
"Blaylock, Lisa Marie",extension,Elder,Haynie Chapel,2013,2014,1,0
"Boaz, Darlene Elizabeth",retired,Elder,Austin: University,2007,2010,3,0
"Boaz, Darlene Elizabeth",retired,Elder,Staples/Kingsbury/Fentress,2010,2012,2,0
"Boaz, Darlene Elizabeth",retired,Elder,CC: St. Lukes,2012,2014,2,0
"Boaz, Darlene Elizabeth",retired,Elder,Austin: St. Luke,2014,2014,0,0
"Boaz, Darlene Elizabeth",retired,Elder,Austin: St. Luke / Grace,2014,2015,1,0
"Boaz, Darlene Elizabeth",retired,Elder,Kyle UMC,2015,2019,4,0
"Boehk, Karen Sue",retired,Elder,CC: Asbury,1992,2001,9,0
"Boehk, Karen Sue",retired,Elder,San Benito: First UMC,2001,2003,2,0
"Boehk, Karen Sue",retired,Elder,Smithville: First,2003,2011,8,0
"Boehk, Karen Sue",retired,Elder,Smithville: First / Hart's Chapel,2011,2012,1,0
"Boehk, Karen Sue",retired,Elder,Smithville: First,2012,2017,5,0
"Boehk, Karen Sue",retired,Elder,Smithville: First,2022,2022,0,0
"Booth, Theresa Marie",active_church,Local pastor,Freer/Bruni,2012,2016,4,0
"Booth, Theresa Marie",active_church,Local pastor,New Braunfels: First UMC,2016,2025,9,0
"Booth, Theresa Marie",active_church,Local pastor,SAnt: Oxford UMC,2025,2025,0,1
"Borrego, Daisy San Jorge",active_church,Local pastor,Pearsall: San Pablo,2017,2020,3,0
"Borrego, Daisy San Jorge",active_church,Local pastor,SAnt: Paz Pollard Memorial,2020,2021,1,0
"Borrego, Daisy San Jorge",active_church,Local pastor,SAnt: Pollard Memorial,2021,2025,4,0
"Borrego, Daisy San Jorge",active_church,Local pastor,Del Rio: El Principe de Paz,2025,2025,0,1
"Bowlin, Russell Philip",active_church,Elder,V: First UMC,2013,2017,4,0
"Bowlin, Russell Philip",active_church,Elder,San Marcos: First UMC,2017,2022,5,0
"Bowlin, Russell Philip",active_church,Elder,Cedar Creek UMC,2022,2025,3,1
"Boyce, Everette Elmo, Jr.",retired,Elder,George West UMC,1980,1983,3,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Fredericksburg UMC,1983,1984,1,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Kerrville: First UMC,1984,1987,3,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Kingsville: Christ,1987,1994,7,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Devine UMC,1994,2002,8,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Sterling City: First UMC,2002,2003,1,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Bandera UMC,2003,2010,7,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Bronte: First,2012,2019,7,0
"Boyce, Everette Elmo, Jr.",retired,Elder,Rocksprings: FUMC/Barksdale,2020,2020,0,0
"Bradley, George Allan",retired,Elder,La Feria UMC,1999,2003,4,0
"Bradley, George Allan",retired,Elder,SAnt: St. Andrew's UMC,2003,2007,4,0
"Bradley, George Allan",retired,Elder,Robert Lee,2007,2009,2,0
"Bradley, George Allan",retired,Elder,Nixon,2009,2013,4,0
"Bradley, George Allan",retired,Elder,Pleasanton: First UMC,2013,2015,2,0
"Bradley, George Allan",retired,Elder,SAnt: El Divino Salvador/Jefferson,2015,2015,0,0
"Bradley, George Allan",retired,Elder,SAnt: Jefferson Y El Divino Salvador,2016,2016,0,0
"Bradley, George Allan",retired,Elder,SAnt: Jefferson / El Divino Salvador,2017,2017,0,0
"Bradley, George Allan",retired,Elder,SAnt: Jefferson,2017,2017,0,0
"Brechin, Mark Andrew",active_church,Elder,Somerset UMC,2000,2006,6,0
"Brechin, Mark Andrew",active_church,Elder,Devine UMC,2006,2015,9,0
"Brechin, Mark Andrew",active_church,Elder,Columbus: First,2015,2022,7,0
"Brechin, Mark Andrew",active_church,Elder,Sonora UMC,2022,2025,3,1
"Brewer, Timothy Carl",retired,Elder,Louise - Cordele,1976,1980,4,0
"Brewer, Timothy Carl",retired,Elder,Hebbronville / Bruni / Mirando,1980,1984,4,0
"Brewer, Timothy Carl",retired,Elder,Austin: Grace UMC,1984,1990,6,0
"Brewer, Timothy Carl",retired,Elder,Ozona UMC,1990,1994,4,0
"Brewer, Timothy Carl",retired,Elder,Port Lavaca: First,1994,2001,7,0
"Brewer, Timothy Carl",retired,Elder,CC: Grace,2001,2005,4,0
"Brewer, Timothy Carl",retired,Elder,Harlingen: Wesley UMC,2005,2010,5,0
"Brewer, Timothy Carl",retired,Elder,Del Rio: First UMC,2010,2015,5,0
"Brewer, Timothy Carl",retired,Elder,V: First UMC,2015,2019,4,0
"Brewer, Timothy Carl",retired,Elder,Lometa/Bend,2019,2019,0,0
"Brewster, Cheri Ellis",retired,Elder,"(PT), Austin: Bethany",1997,1997,0,0
